"Concatenate","Year","Pasture","Allocation.number","type","Actual.on.date","Actual.off.date","Season.on.date","Season.off.date","Treatment","notes","Rotn","Year_Treatment_Rotn","Caveats"
"2000_15E",2000,"15E","20","replacement heifers","2000-05-19","2000-08-10",2000-05-19,2000-08-11,"LTGI_MOD","animals were moved into rotations after 8/11/00",NA,"2000_LTGI_MOD_",NA
"2001_15E",2001,"15E","20","replacement heifers","2001-05-17","2001-10-22",2001-05-17,2001-10-03,"LTGI_MOD",NA,NA,"2001_LTGI_MOD_",NA
"2002_15E",2002,"15E","20","replacement heifers","2002-05-17","2002-08-07",2002-05-17,2002-08-06,"LTGI_MOD","Animals were moved into rotations after 8/8/02 as far as I can tell",NA,"2002_LTGI_MOD_",NA
"2003_15E",2003,"15E","20","replacement heifers","2003-05-22","2003-10-08",2003-05-22,2003-10-08,"LTGI_MOD",NA,NA,"2003_LTGI_MOD_",NA
"2004_15E",2004,"15E","20","replacement heifers","2004-05-19","2004-10-13",2004-05-19,2004-10-12,"LTGI_MOD",NA,NA,"2004_LTGI_MOD_",NA
"2005_15E",2005,"15E","20","replacement heifers","2005-05-17","2005-10-19",2005-05-17,2005-10-18,"LTGI_MOD",NA,NA,"2005_LTGI_MOD_",NA
"2006_15E",2006,"15E","20","replacement heifers","2006-05-18","2006-10-19",2006-05-18,2006-10-18,"LTGI_MOD",NA,NA,"2006_LTGI_MOD_",NA
"2007_15E",2007,"15E","20","replacement heifers","2007-05-17","2007-10-22",2007-05-17,2007-10-21,"LTGI_MOD",NA,NA,"2007_LTGI_MOD_",NA
"2008_15E",2008,"15E","20","replacement heifers","2008-05-15","2008-10-14",2008-05-16,2008-10-13,"LTGI_MOD",NA,NA,"2008_LTGI_MOD_",NA
"2009_15E",2009,"15E","20","yearling steers","2009-05-15","2009-10-01",2009-05-15,2009-09-29,"LTGI_MOD",NA,NA,"2009_LTGI_MOD_",NA
"2010_15E",2010,"15E","20","yearling steers","2010-05-10","2010-10-04",2010-05-11,2010-10-01,"LTGI_MOD",NA,NA,"2010_LTGI_MOD_",NA
"2011_15E",2011,"15E","20","yearling steers","2011-05-12","2011-09-28",2011-05-12,2011-09-27,"LTGI_MOD",NA,NA,"2011_LTGI_MOD_",NA
"2012_15E",2012,"15E","20","yearling steers","2012-05-17","2012-09-25",2012-05-17,2012-09-22,"LTGI_MOD",NA,NA,"2012_LTGI_MOD_",NA
"2013_15E",2013,"15E","20","yearling steers","2013-05-30","2013-09-29",2013-05-30,2013-09-28,"LTGI_MOD",NA,NA,"2013_LTGI_MOD_",NA
"2014_15E",2014,"15E","20","yearling steers","2014-05-14","2014-10-03",2014-05-15,2014-10-02,"LTGI_MOD",NA,NA,"2014_LTGI_MOD_",NA
"2015_15E",2015,"15E","21","yearling steers","2015-05-14","2015-10-03",2015-05-15,2015-10-02,"LTGI_MOD",NA,NA,"2015_LTGI_MOD_",NA
"2016_15E",2016,"15E","22","yearling steers","2016-05-11","2016-10-01",2016-05-13,2016-09-30,"LTGI_MOD",NA,NA,"2016_LTGI_MOD_",NA
"2017_15E",2017,"15E","23","yearling steers","2017-05-10","2017-09-30",2017-05-11,2017-09-29,"LTGI_MOD",NA,NA,"2017_LTGI_MOD_",NA
"2018_15E",2018,"15E","26","yearling steers","2018-05-09","2018-09-29",2018-05-10,2018-09-28,"LTGI_MOD","TRM",NA,"2018_LTGI_MOD_",NA
"2019_15E",2019,"15E","22","yearling steers","2019-05-16","2019-09-28",2019-05-16,2019-09-27,"LTGI_MOD","TRM",NA,"2019_LTGI_MOD_",NA
"2020_15E",2020,"15E","23","yearling steers","2020-05-14","2020-10-03",2020-05-16,2020-10-02,"LTGI_MOD","TRM",NA,"2020_LTGI_MOD_",NA
"2021_15E",2021,"15E","20","yearling steers","2021-05-20","2021-10-02",2021-05-22,2021-10-01,"LTGI_MOD","TRM",NA,"2021_LTGI_MOD_",NA
"2022_15E",2022,"15E","23","yearling steers","2022-05-23","2022-07-31",2022-05-23,2022-07-30,"LTGI_MOD","TRM",NA,"2022_LTGI_MOD_",NA
"2023_15E",2023,"15E","17","yearling steers","2023-05-18","2023-09-30",2023-05-19,2023-09-29,"LTGI_MOD","TRM",NA,"2023_LTGI_MOD_",NA
"2024_15E",2024,"15E","30","yearling steers","2024-05-16","2024-09-08",2024-05-17,2024-09-07,"LTGI_MOD","TRM",NA,"2024_LTGI_MOD_",NA
"2013_19N",2013,"19N","14","yearling steers","2013-05-29","2013-09-29",2013-05-30,2013-09-28,"TRM",NA,NA,"2013_TRM_",NA
"2014_19N",2014,"19N","24","yearling steers","2014-05-15","2014-10-03",2014-05-15,2014-10-02,"TRM","GZTX",NA,"2014_TRM_",NA
"2015_19N",2015,"19N","25","yearling steers","2015-05-15","2015-10-03",2015-05-15,2015-10-02,"TRM","GZTX",NA,"2015_TRM_",NA
"2016_19N",2016,"19N","26","yearling steers","2016-05-12","2016-10-01",2016-05-13,2016-09-30,"TRM","GZTX",NA,"2016_TRM_",NA
"2017_19N",2017,"19N","27","yearling steers","2017-05-11","2017-09-30",2017-05-11,2017-09-29,"TRM","GZTX",NA,"2017_TRM_",NA
"2018_19N",2018,"19N","31","yearling steers","2018-05-10","2018-09-29",2018-05-10,2018-09-28,"TRM","GZTX",NA,"2018_TRM_",NA
"2019_19N",2019,"19N","26","yearling steers","2019-05-17","2019-09-28",2019-05-16,2019-09-27,"TRM","GZTX",NA,"2019_TRM_",NA
"2020_19N",2020,"19N","26","yearling steers","2020-05-15","2020-10-03",2020-05-16,2020-10-02,"TRM","GZTX",NA,"2020_TRM_",NA
"2021_19N",2021,"19N","24","yearling steers","2021-05-21","2021-10-02",2021-05-22,2021-10-01,"TRM","GZTX",NA,"2021_TRM_",NA
"2022_19N",2022,"19N","27","yearling steers","2022-05-23","2022-07-31",2022-05-23,2022-07-30,"TRM","GZTX",NA,"2022_TRM_",NA
"2023_19N",2023,"19N","21","yearling steers","2023-05-19","2023-09-30",2023-05-19,2023-09-29,"TRM","GZTX",NA,"2023_TRM_",NA
"2024_19N",2024,"19N","30","yearling steers","2024-05-14","2024-09-05",2024-05-17,2024-09-04,"MOO",NA,NA,"2024_MOO_",NA
"2000_23E",2000,"23E","25","replacement heifers","2000-05-19","2000-08-10",2000-05-19,2000-08-11,"LTGI_HVY","animals were moved into rotations after 8/11/00",NA,"2000_LTGI_HVY_",NA
"2001_23E",2001,"23E","25","replacement heifers","2001-05-17","2001-10-22",2001-05-17,2001-10-03,"LTGI_HVY",NA,NA,"2001_LTGI_HVY_",NA
"2002_23E",2002,"23E","25","replacement heifers","2002-05-17","2002-08-07",2002-05-17,2002-08-06,"LTGI_HVY","Animals were moved into rotations after 8/8/02 as far as I can tell",NA,"2002_LTGI_HVY_",NA
"2003_23E",2003,"23E","25","replacement heifers","2003-05-22","2003-10-08",2003-05-22,2003-10-08,"LTGI_HVY",NA,NA,"2003_LTGI_HVY_",NA
"2004_23E",2004,"23E","25","replacement heifers","2004-05-19","2004-10-13",2004-05-19,2004-10-12,"LTGI_HVY",NA,NA,"2004_LTGI_HVY_",NA
"2005_23E",2005,"23E","25","replacement heifers","2005-05-17","2005-10-19",2005-05-17,2005-10-18,"LTGI_HVY",NA,NA,"2005_LTGI_HVY_",NA
"2006_23E",2006,"23E","30","replacement heifers","2006-05-18","2006-10-19",2006-05-18,2006-10-18,"LTGI_HVY",NA,NA,"2006_LTGI_HVY_",NA
"2007_23E",2007,"23E","30","replacement heifers","2007-05-17","2007-10-22",2007-05-17,2007-10-21,"LTGI_HVY",NA,NA,"2007_LTGI_HVY_",NA
"2008_23E",2008,"23E","30","replacement heifers","2008-05-15","2008-10-14",2008-05-16,2008-10-13,"LTGI_HVY",NA,NA,"2008_LTGI_HVY_",NA
"2009_23E",2009,"23E","30","yearling steers","2009-05-15","2009-10-01",2009-05-15,2009-09-29,"LTGI_HVY",NA,NA,"2009_LTGI_HVY_",NA
"2010_23E",2010,"23E","30","yearling steers","2010-05-10","2010-10-04",2010-05-11,2010-10-01,"LTGI_HVY",NA,NA,"2010_LTGI_HVY_",NA
"2011_23E",2011,"23E","30","yearling steers","2011-05-12","2011-09-28",2011-05-12,2011-09-27,"LTGI_HVY",NA,NA,"2011_LTGI_HVY_",NA
"2012_23E",2012,"23E","30","yearling steers","2012-05-17","2012-09-25",2012-05-17,2012-09-22,"LTGI_HVY",NA,NA,"2012_LTGI_HVY_",NA
"2013_23E",2013,"23E","30","yearling steers","2013-05-30","2013-09-29",2013-05-30,2013-09-28,"LTGI_HVY",NA,NA,"2013_LTGI_HVY_",NA
"2014_23E",2014,"23E","30","yearling steers","2014-05-14","2014-10-03",2014-05-15,2014-10-02,"LTGI_HVY",NA,NA,"2014_LTGI_HVY_",NA
"2015_23E",2015,"23E","30","yearling steers","2015-05-14","2015-10-03",2015-05-15,2015-10-02,"LTGI_HVY",NA,NA,"2015_LTGI_HVY_",NA
"2016_23E",2016,"23E","30","yearling steers","2016-05-11","2016-10-01",2016-05-13,2016-09-30,"LTGI_HVY",NA,NA,"2016_LTGI_HVY_",NA
"2017_23E",2017,"23E","30","yearling steers","2017-05-10","2017-09-30",2017-05-11,2017-09-29,"LTGI_HVY",NA,NA,"2017_LTGI_HVY_",NA
"2018_23E",2018,"23E","35","yearling steers","2018-05-09","2018-09-29",2018-05-10,2018-09-28,"LTGI_HVY",NA,NA,"2018_LTGI_HVY_",NA
"2019_23E",2019,"23E","34","yearling steers","2019-05-16","2019-09-28",2019-05-16,2019-09-27,"LTGI_HVY",NA,NA,"2019_LTGI_HVY_",NA
"2020_23E",2020,"23E","34","yearling steers","2020-05-14","2020-10-03",2020-05-16,2020-10-02,"LTGI_HVY",NA,NA,"2020_LTGI_HVY_",NA
"2021_23E",2021,"23E","30","yearling steers","2021-05-20","2021-10-02",2021-05-22,2021-10-01,"LTGI_HVY",NA,NA,"2021_LTGI_HVY_",NA
"2022_23E",2022,"23E","34","yearling steers","2022-05-19","2022-06-16",2022-05-23,2022-07-30,"LTGI_HVY","Animals removed from 23E on 6/16/22 and moved to 13W due to drought conditions",NA,"2022_LTGI_HVY_",NA
"2023_23E",2023,"23E","26","yearling steers","2023-05-18","2023-09-30",2023-05-19,2023-09-29,"LTGI_HVY",NA,NA,"2023_LTGI_HVY_",NA
"2024_23E",2024,"23E","45","yearling steers","2024-05-16","2024-09-08",2024-05-17,2024-09-07,"LTGI_HVY",NA,NA,"2024_LTGI_HVY_",NA
"2000_23W",2000,"23W","15","replacement heifers","2000-05-19","2000-08-10",2000-05-19,2000-08-11,"LTGI_LHT","animals were moved into rotations after 8/11/00",NA,"2000_LTGI_LHT_",NA
"2001_23W",2001,"23W","15","replacement heifers","2001-05-17","2001-10-22",2001-05-17,2001-10-03,"LTGI_LHT",NA,NA,"2001_LTGI_LHT_",NA
"2002_23W",2002,"23W","15","replacement heifers","2002-05-17","2002-08-07",2002-05-17,2002-08-06,"LTGI_LHT","Animals were moved into rotations after 8/8/02 as far as I can tell",NA,"2002_LTGI_LHT_",NA
"2003_23W",2003,"23W","15","replacement heifers","2003-05-22","2003-10-08",2003-05-22,2003-10-08,"LTGI_LHT",NA,NA,"2003_LTGI_LHT_",NA
"2004_23W",2004,"23W","15","replacement heifers","2004-05-19","2004-10-13",2004-05-19,2004-10-12,"LTGI_LHT",NA,NA,"2004_LTGI_LHT_",NA
"2005_23W",2005,"23W","14","replacement heifers","2005-05-17","2005-10-19",2005-05-17,2005-10-18,"LTGI_LHT",NA,NA,"2005_LTGI_LHT_",NA
"2006_23W",2006,"23W","15","replacement heifers","2006-05-18","2006-10-19",2006-05-18,2006-10-18,"LTGI_LHT",NA,NA,"2006_LTGI_LHT_",NA
"2007_23W",2007,"23W","15","replacement heifers","2007-05-17","2007-10-22",2007-05-17,2007-10-21,"LTGI_LHT",NA,NA,"2007_LTGI_LHT_",NA
"2008_23W",2008,"23W","15","replacement heifers","2008-05-15","2008-10-14",2008-05-16,2008-10-13,"LTGI_LHT",NA,NA,"2008_LTGI_LHT_",NA
"2009_23W",2009,"23W","15","yearling steers","2009-05-15","2009-10-01",2009-05-15,2009-09-29,"LTGI_LHT",NA,NA,"2009_LTGI_LHT_",NA
"2010_23W",2010,"23W","15","yearling steers","2010-05-10","2010-10-04",2010-05-11,2010-10-01,"LTGI_LHT",NA,NA,"2010_LTGI_LHT_",NA
"2011_23W",2011,"23W","15","yearling steers","2011-05-12","2011-09-28",2011-05-12,2011-09-27,"LTGI_LHT",NA,NA,"2011_LTGI_LHT_",NA
"2012_23W",2012,"23W","15","yearling steers","2012-05-17","2012-09-25",2012-05-17,2012-09-22,"LTGI_LHT",NA,NA,"2012_LTGI_LHT_",NA
"2013_23W",2013,"23W","15","yearling steers","2013-05-30","2013-09-29",2013-05-30,2013-09-28,"LTGI_LHT",NA,NA,"2013_LTGI_LHT_",NA
"2014_23W",2014,"23W","15","yearling steers","2014-05-14","2014-10-03",2014-05-15,2014-10-02,"LTGI_LHT",NA,NA,"2014_LTGI_LHT_",NA
"2015_23W",2015,"23W","15","yearling steers","2015-05-14","2015-10-03",2015-05-15,2015-10-02,"LTGI_LHT",NA,NA,"2015_LTGI_LHT_",NA
"2016_23W",2016,"23W","15","yearling steers","2016-05-11","2016-10-01",2016-05-13,2016-09-30,"LTGI_LHT",NA,NA,"2016_LTGI_LHT_",NA
"2017_23W",2017,"23W","15","yearling steers","2017-05-10","2017-09-30",2017-05-11,2017-09-29,"LTGI_LHT",NA,NA,"2017_LTGI_LHT_",NA
"2018_23W",2018,"23W","16","yearling steers","2018-05-09","2018-09-29",2018-05-10,2018-09-28,"LTGI_LHT",NA,NA,"2018_LTGI_LHT_",NA
"2019_23W",2019,"23W","17","yearling steers","2019-05-16","2019-09-28",2019-05-16,2019-09-27,"LTGI_LHT",NA,NA,"2019_LTGI_LHT_",NA
"2020_23W",2020,"23W","17","yearling steers","2020-05-14","2020-10-03",2020-05-16,2020-10-02,"LTGI_LHT",NA,NA,"2020_LTGI_LHT_",NA
"2021_23W",2021,"23W","15","yearling steers","2021-05-20","2021-10-02",2021-05-22,2021-10-01,"LTGI_LHT",NA,NA,"2021_LTGI_LHT_",NA
"2022_23W",2022,"23W","17","yearling steers","2022-05-19","2022-07-31",2022-05-23,2022-07-30,"LTGI_LHT",NA,NA,"2022_LTGI_LHT_",NA
"2023_23W",2023,"23W","13","yearling steers","2023-05-18","2023-09-30",2023-05-19,2023-09-29,"LTGI_LHT",NA,NA,"2023_LTGI_LHT_",NA
"2024_23W",2024,"23W","23","yearling steers","2024-05-16","2024-09-08",2024-05-17,2024-09-07,"LTGI_LHT",NA,NA,"2024_LTGI_LHT_",NA
