ID,Year,Week of grazing season,Treatment,CP,DOM,sampling date,CARM pasture,PastureID,Week_in_Pasture
1,2014,1,CARM,11.62,64.88,5/23/2014 0:00,Elm,20NW,1
2,2014,1,TRM,13.37,65.7,5/23/2014 0:00,Elm,20SE,1
3,2014,2,CARM,10.35,63.86,5/30/2014 0:00,Elm,20NW,2
4,2014,2,TRM,14.69,65.65,5/30/2014 0:00,Elm,20SE,2
5,2014,3,CARM,12.63,64.73,6/6/2014 0:00,Snowfence,18S,1
6,2014,3,TRM,13.79,66.26,6/6/2014 0:00,Snowfence,19N,1
7,2014,4,CARM,10.87,63.73,6/13/2014 0:00,Snowfence,18S,2
8,2014,4,TRM,13.01,67.7,6/13/2014 0:00,Snowfence,19N,2
9,2014,5,CARM,10.03,62.63,6/20/2014 0:00,Snowfence,18S,3
10,2014,5,TRM,13.1,64.42,6/20/2014 0:00,Snowfence,19N,3
11,2014,6,CARM,11.2,63.21,6/27/2014 0:00,Headquarters,7SE,1
12,2014,6,TRM,10.86,65.27,6/27/2014 0:00,Headquarters,7NW,1
13,2014,7,CARM,7.77,61.61,7/3/2014 0:00,Headquarters,7SE,2
14,2014,7,TRM,9.93,64.5,7/3/2014 0:00,Headquarters,7NW,2
15,2014,8,CARM,8.38,62.83,7/8/2014 0:00,Headquarters,7SE,3
16,2014,8,TRM,8.03,60.83,7/8/2014 0:00,Headquarters,7NW,3
17,2014,9,CARM,8.71,64.75,7/15/2014 0:00,Ridgeline,8E,1
18,2014,9,TRM,9.42,63.56,7/15/2014 0:00,Ridgeline,5E,1
19,2014,10,CARM,7.27,62.58,7/23/2014 0:00,Ridgeline,8E,2
20,2014,10,TRM,8.29,62,7/23/2014 0:00,Ridgeline,5E,2
21,2014,11,CARM,8.07,62.91,7/29/2014 0:00,Saltflat,17S,1
22,2014,11,TRM,8.54,62.12,7/29/2014 0:00,Saltflat,17N,1
23,2014,12,CARM,7.42,61.16,8/5/2014 0:00,Saltflat,17S,2
24,2014,12,TRM,7.72,62.11,8/5/2014 0:00,Saltflat,17N,2
25,2014,13,CARM,5.85,59.55,8/12/2014 0:00,Saltflat,17S,3
26,2014,13,TRM,8.09,61.82,8/12/2014 0:00,Saltflat,17N,3
27,2014,14,CARM,5.6,61.93,8/18/2014 0:00,Saltflat,17S,4
28,2014,14,TRM,7.1,63.27,8/18/2014 0:00,Saltflat,17N,4
29,2014,15,CARM,9.31,61.25,8/26/2014 0:00,Crossroads,25NW,1
30,2014,15,TRM,7.98,60.86,8/26/2014 0:00,Crossroads,25SE,1
31,2014,16,CARM,6.93,58.94,9/2/2014 0:00,Crossroads,25NW,2
32,2014,16,TRM,7.87,60.95,9/2/2014 0:00,Crossroads,25SE,2
33,2014,17,CARM,7.86,57.07,9/8/2014 0:00,Crossroads,25NW,3
34,2014,17,TRM,9.32,60.33,9/8/2014 0:00,Crossroads,25SE,3
37,2014,19,CARM,8.43,55.76,9/23/2014 0:00,Hilltank,26W,1
38,2014,19,TRM,10.01,54.69,9/23/2014 0:00,Hilltank,26E,1
39,2014,20,CARM,6.13,55.32,9/29/2014 0:00,Hilltank,26W,2
40,2014,20,TRM,6.86,59.43,9/29/2014 0:00,Hilltank,26E,2
41,2015,1,CARM,7.69,64.94,5/21/2015 0:00,Snowfence,18S,1
42,2015,1,TRM,11.98,63.96,5/21/2015 0:00,Snowfence,19N,1
43,2015,2,CARM,8.12,63.03,5/27/2015 0:00,Snowfence,18S,2
44,2015,2,TRM,11.5,62.44,5/27/2015 0:00,Snowfence,19N,2
45,2015,3,CARM,10.93,63.79,6/3/2015 0:00,Saltflat,17S,1
46,2015,3,TRM,13.97,63.9,6/3/2015 0:00,Saltflat,17N,1
47,2015,4,CARM,10.55,61.99,6/10/2015 0:00,Saltflat,17S,2
48,2015,4,TRM,12.61,63.72,6/10/2015 0:00,Saltflat,17N,2
49,2015,5,CARM,9.03,60.8,6/17/2015 0:00,Saltflat,17S,3
50,2015,5,TRM,13.48,64.11,6/17/2015 0:00,Saltflat,17N,3
51,2015,6,CARM,9.86,60.09,6/24/2015 0:00,Saltflat,17S,4
52,2015,6,TRM,10.73,65.15,6/24/2015 0:00,Saltflat,17N,4
53,2015,7,CARM,7.82,59.33,7/1/2015 0:00,Saltflat,17S,5
54,2015,7,TRM,11.19,62.79,7/1/2015 0:00,Saltflat,17N,5
55,2015,8,CARM,8.27,61.14,7/7/2015 0:00,Saltflat,17S,6
56,2015,8,TRM,10.17,62.77,7/7/2015 0:00,Saltflat,17N,6
57,2015,9,CARM,7.69,62.07,7/15/2015 0:00,Nighthawk,NH,1
58,2015,9,TRM,9.5,62.03,7/15/2015 0:00,Nighthawk,15E,1
59,2015,10,CARM,8.11,61.91,7/23/2015 0:00,Nighthawk,NH,2
60,2015,10,TRM,10.95,62.08,7/23/2015 0:00,Nighthawk,15E,2
61,2015,11,CARM,7.37,60.67,7/27/2015 0:00,Nighthawk,NH,3
62,2015,11,TRM,8.39,61.66,7/27/2015 0:00,Nighthawk,15E,3
63,2015,12,CARM,7.22,60.89,8/5/2015 0:00,Nighthawk,NH,4
64,2015,12,TRM,9.15,61.57,8/5/2015 0:00,Nighthawk,15E,4
65,2015,13,CARM,7,60.03,8/12/2015 0:00,Nighthawk,NH,5
66,2015,13,TRM,8.73,61.28,8/12/2015 0:00,Nighthawk,15E,5
67,2015,14,CARM,6.98,59.57,8/19/2015 0:00,Nighthawk,NH,6
68,2015,14,TRM,9.18,61.68,8/19/2015 0:00,Nighthawk,15E,6
69,2015,15,CARM,9.26,61.61,8/27/2015 0:00,Highway,21N,1
70,2015,15,TRM,10.51,63.22,8/27/2015 0:00,Highway,24W,1
71,2015,16,CARM,7.42,60.55,9/3/2015 0:00,Highway,21N,2
72,2015,16,TRM,7.92,62.07,9/3/2015 0:00,Highway,24W,2
73,2015,17,CARM,6.49,60.71,9/11/2015 0:00,Highway,21N,3
74,2015,17,TRM,7.06,60.29,9/11/2015 0:00,Highway,24W,3
75,2015,18,CARM,4.98,60.56,9/18/2015 0:00,Highway,21N,4
76,2015,18,TRM,5.74,60.97,9/18/2015 0:00,Highway,24W,4
77,2015,19,CARM,4.65,58.5,9/25/2015 0:00,Highway,21N,9
78,2015,19,TRM,6.75,61.42,9/25/2015 0:00,Highway,24W,5
79,2016,1,CARM,7.22,65.07,5/20/2016 0:00,Ridgeline,8E,1
80,2016,1,TRM,10.8,65.35,5/20/2016 0:00,Ridgeline,5E,1
81,2016,2,CARM,7.78,66.27,5/27/2016 0:00,Ridgeline,8E,2
82,2016,2,TRM,12.62,68.2,5/27/2016 0:00,Ridgeline,5E,2
83,2016,3,CARM,7.57,66.25,6/3/2016 0:00,Ridgeline,8E,3
84,2016,3,TRM,11.97,67.75,6/3/2016 0:00,Ridgeline,5E,3
85,2016,4,CARM,6.7,65.81,6/7/2016 0:00,Ridgeline,8E,4
86,2016,4,TRM,10.74,68.12,6/7/2016 0:00,Ridgeline,5E,4
87,2016,5,CARM,7.1,65.16,6/14/2016 0:00,Elm,20NW,1
88,2016,5,TRM,11.47,69.91,6/14/2016 0:00,Elm,20SE,1
89,2016,6,CARM,7.22,64.81,6/22/2016 0:00,Elm,20NW,2
90,2016,6,TRM,9.85,66.31,6/22/2016 0:00,Elm,20SE,2
91,2016,7,CARM,5.58,62.67,6/30/2016 0:00,Elm,20NW,3
92,2016,7,TRM,7.89,67.23,6/30/2016 0:00,Elm,20SE,3
93,2016,8,CARM,7.46,65.42,7/8/2016 0:00,South,31W,1
94,2016,8,TRM,8.89,66.05,7/8/2016 0:00,South,31E,1
95,2016,9,CARM,6.42,63.2,7/14/2016 0:00,South,31W,2
96,2016,9,TRM,8.77,65.79,7/14/2016 0:00,South,31E,2
97,2016,10,CARM,7.53,61.98,7/25/2016 0:00,South,31W,3
98,2016,10,TRM,7.71,64.04,7/25/2016 0:00,South,31E,3
99,2016,11,CARM,6.08,60.51,8/1/2016 0:00,Crossroads,25NW,1
100,2016,11,TRM,7.79,63.16,8/1/2016 0:00,Crossroads,25SE,1
101,2016,12,CARM,7.31,58.86,8/8/2016 0:00,Crossroads,25NW,2
102,2016,12,TRM,7.79,62.8,8/8/2016 0:00,Crossroads,25SE,2
103,2016,13,CARM,6.63,58.71,8/18/2016 0:00,Hilltank,26W,1
104,2016,13,TRM,7.52,59.05,8/18/2016 0:00,Hilltank,26E,1
105,2016,14,CARM,6.49,56.03,8/24/2016 0:00,Hilltank,26W,2
106,2016,14,TRM,6.99,59.31,8/24/2016 0:00,Hilltank,26E,2
107,2016,15,CARM,5.28,58.07,9/1/2016 0:00,Hilltank,26W,3
108,2016,15,TRM,6.86,59.42,9/1/2016 0:00,Hilltank,26E,3
109,2016,16,CARM,6.87,56.87,9/6/2016 0:00,Hilltank,26W,4
110,2016,16,TRM,8.27,58.15,9/6/2016 0:00,Hilltank,26E,4
111,2016,17,CARM,5.75,65.85,9/14/2016 0:00,Snowfence,18S,1
112,2016,17,TRM,6.13,60.66,9/14/2016 0:00,Snowfence,19N,1
113,2016,18,CARM,6.11,63.21,9/20/2016 0:00,Snowfence,18S,2
114,2016,18,TRM,5.6,63.18,9/20/2016 0:00,Snowfence,19N,2
115,2016,19,CARM,7.11,60.87,9/29/2016 0:00,Headquarters,7SE,1
116,2016,19,TRM,6.44,60.82,9/29/2016 0:00,Headquarters,7NW,1
117,2017,1,CARM,8.43,66.15,5/22/2017 0:00,Snowfence,18S,1
118,2017,1,TRM,12.07,67.18,5/22/2017 0:00,Snowfence,19N,1
119,2017,2,CARM,8.52,65.8,5/26/2017 0:00,Snowfence,18S,2
120,2017,2,TRM,11.86,65.64,5/26/2017 0:00,Snowfence,19N,2
121,2017,3,CARM,9.13,64.37,6/1/2017 0:00,Snowfence,18S,3
122,2017,3,TRM,13.5,66.7,6/1/2017 0:00,Snowfence,19N,3
123,2017,4,CARM,9.51,65.29,6/9/2017 0:00,Headquarters,7SE,1
124,2017,4,TRM,12.25,67.35,6/9/2017 0:00,Headquarters,7NW,1
125,2017,5,CARM,10.95,66.14,6/16/2017 0:00,Headquarters,7SE,2
126,2017,5,TRM,11.88,68.06,6/16/2017 0:00,Headquarters,7NW,2
127,2017,6,CARM,6.41,63.92,6/21/2017 0:00,Headquarters,7SE,3
128,2017,6,TRM,10.2,64.94,6/21/2017 0:00,Headquarters,7NW,3
129,2017,7,CARM,9.01,66.69,6/30/2017 0:00,Nighthawk,NH,1
130,2017,7,TRM,9.69,64.31,6/30/2017 0:00,Nighthawk,15E,1
131,2017,8,CARM,7.19,63.06,7/7/2017 0:00,Nighthawk,NH,2
132,2017,8,TRM,10.13,63.74,7/7/2017 0:00,Nighthawk,15E,2
133,2017,9,CARM,7.22,62.85,7/12/2017 0:00,Nighthawk,NH,3
134,2017,9,TRM,8.82,64.01,7/12/2017 0:00,Nighthawk,15E,3
135,2017,10,CARM,8.1,64.97,7/19/2017 0:00,Highway,21N,1
136,2017,10,TRM,9.8,65.55,7/19/2017 0:00,Highway,24W,1
137,2017,11,CARM,8.78,63.69,7/26/2017 0:00,Crossroads,25NW,1
138,2017,11,TRM,9.46,63.08,7/26/2017 0:00,Crossroads,25SE,1
139,2017,12,CARM,8.35,64.03,8/2/2017 0:00,Crossroads,25NW,2
140,2017,12,TRM,8.45,62.39,8/2/2017 0:00,Crossroads,25SE,2
141,2017,14,CARM,8.8,63.92,8/15/2017 0:00,Hilltank,26W,1
142,2017,14,TRM,11.58,62.99,8/15/2017 0:00,Hilltank,26E,1
143,2017,15,CARM,6.85,62.71,8/22/2017 0:00,Hilltank,26W,2
144,2017,15,TRM,9.94,62.2,8/22/2017 0:00,Hilltank,26E,2
145,2017,16,CARM,7.34,63.3,8/28/2017 0:00,Hilltank,26W,3
146,2017,16,TRM,9.19,62.61,8/28/2017 0:00,Hilltank,26E,3
147,2017,17,CARM,6.84,61.66,9/5/2017 0:00,South,31W,1
148,2017,17,TRM,7.85,63.03,9/5/2017 0:00,South,31E,1
149,2017,18,CARM,5.77,62.57,9/13/2017 0:00,Saltflat,17S,1
150,2017,18,TRM,7.74,60.58,9/13/2017 0:00,Saltflat,17N,1
151,2017,19,CARM,5.05,62.37,9/20/2017 0:00,Saltflat,17S,2
152,2017,19,TRM,4.86,61.95,9/20/2017 0:00,Saltflat,17N,2
153,2018,1,CARM,10.35,64.44,5/17/2018 0:00,Elm,20NW,1
154,2018,1,TRM,11.55,66,5/17/2018 0:00,Elm,20SE,1
155,2018,1,TRM,10.94,65.46,5/17/2018 0:00,Elm,7NW,1
156,2018,1,TRM,11,65.47,5/17/2018 0:00,Elm,19N,1
157,2018,1,TRM,11.81,66.01,5/17/2018 0:00,Elm,15E,1
158,2018,2,CARM,7.57,62.69,5/24/2018 0:00,Elm,20NW,2
159,2018,2,TRM,12.24,67.34,5/24/2018 0:00,Elm,20SE,2
160,2018,2,TRM,11.02,66.13,5/24/2018 0:00,Elm,7NW,2
161,2018,2,TRM,8.77,63,5/24/2018 0:00,Elm,19N,2
162,2018,2,TRM,12.84,66.38,5/24/2018 0:00,Elm,15E,2
163,2018,3,CARM,8.38,65.11,5/31/2018 0:00,Snowfence,18S,1
164,2018,3,TRM,,,5/31/2018 0:00,Snowfence,19N,1
165,2018,3,TRM,11.89,67.02,5/31/2018 0:00,Snowfence,7NW,1
166,2018,3,TRM,10.71,66.11,5/31/2018 0:00,Snowfence,19N,1
167,2018,3,TRM,12.65,67.03,5/31/2018 0:00,Snowfence,15E,1
168,2018,4,CARM,7.76,63.05,6/7/2018 0:00,Snowfence,18S,2
169,2018,4,TRM,,,6/7/2018 0:00,Snowfence,19N,2
170,2018,4,TRM,10.56,66.5,6/7/2018 0:00,Snowfence,7NW,2
171,2018,4,TRM,9.2,64.19,6/7/2018 0:00,Snowfence,19N,2
172,2018,4,TRM,12.56,60.2,6/7/2018 0:00,Snowfence,15E,2
173,2018,5,CARM,8.69,64.48,6/15/2018 0:00,South,31W,1
174,2018,5,TRM,10.89,67.01,6/15/2018 0:00,South,31E,1
175,2018,5,TRM,7.86,66.38,6/15/2018 0:00,South,7NW,1
176,2018,5,TRM,8.46,64.44,6/15/2018 0:00,South,19N,1
177,2018,5,TRM,9.83,63,6/15/2018 0:00,South,15E,1
178,2018,6,CARM,7.74,63.49,6/22/2018 0:00,South,31W,2
179,2018,6,TRM,9.27,65.74,6/22/2018 0:00,South,31E,2
180,2018,6,TRM,7.87,64.75,6/22/2018 0:00,South,7NW,2
181,2018,6,TRM,7.87,63.27,6/22/2018 0:00,South,19N,2
182,2018,6,TRM,8.94,63.58,6/22/2018 0:00,South,15E,2
183,2018,7,CARM,7.84,60.98,6/27/2018 0:00,South,31W,3
184,2018,7,TRM,9.59,63,6/27/2018 0:00,South,31E,3
185,2018,7,TRM,8.4,63.78,6/27/2018 0:00,South,7NW,3
186,2018,7,TRM,8.57,62.95,6/27/2018 0:00,South,19N,3
187,2018,7,TRM,8.9,61.16,6/27/2018 0:00,South,15E,3
188,2018,8,CARM,9.36,61.3,7/5/2018 0:00,Crossroads,25NW,1
189,2018,8,TRM,8.9,61.48,7/5/2018 0:00,Crossroads,25SE,1
190,2018,8,TRM,7.31,61.76,7/5/2018 0:00,Crossroads,7NW,1
191,2018,8,TRM,8.31,60.14,7/5/2018 0:00,Crossroads,19N,1
192,2018,8,TRM,9.51,60.85,7/5/2018 0:00,Crossroads,15E,1
193,2018,9,CARM,8.29,57.79,7/12/2018 0:00,Crossroads,25NW,2
194,2018,9,TRM,7.53,58.72,7/12/2018 0:00,Crossroads,25SE,2
195,2018,9,TRM,7.07,61.4,7/12/2018 0:00,Crossroads,7NW,2
196,2018,9,TRM,7.74,60.19,7/12/2018 0:00,Crossroads,19N,2
197,2018,9,TRM,7.88,57.22,7/12/2018 0:00,Crossroads,15E,2
198,2018,10,CARM,6.7,58.51,7/19/2018 0:00,Crossroads,25NW,3
199,2018,10,TRM,7.94,61.49,7/19/2018 0:00,Crossroads,25SE,3
200,2018,10,TRM,7.71,60.67,7/19/2018 0:00,Crossroads,7NW,3
201,2018,10,TRM,6.93,61.59,7/19/2018 0:00,Crossroads,19N,3
202,2018,10,TRM,8.49,56.59,7/19/2018 0:00,Crossroads,15E,3
203,2018,11,CARM,8.85,57.36,7/26/2018 0:00,Hilltank,26W,1
204,2018,11,TRM,7.49,59.81,7/26/2018 0:00,Hilltank,26E,1
205,2018,11,TRM,7.08,60.67,7/26/2018 0:00,Hilltank,7NW,1
206,2018,11,TRM,6.21,60.57,7/26/2018 0:00,Hilltank,19N,1
207,2018,11,TRM,7.81,58.38,7/26/2018 0:00,Hilltank,15E,1
208,2018,12,CARM,6.74,56.38,7/31/2018 0:00,Hilltank,26W,2
209,2018,12,TRM,7.35,58.65,7/31/2018 0:00,Hilltank,26E,2
210,2018,12,TRM,6.82,61.56,7/31/2018 0:00,Hilltank,7NW,2
211,2018,12,TRM,7.2,60.4,7/31/2018 0:00,Hilltank,19N,2
212,2018,12,TRM,7.82,60,7/31/2018 0:00,Hilltank,15E,2
213,2018,13,CARM,6.01,58.58,8/9/2018 0:00,Nighthawk,NH,1
214,2018,13,TRM,,,8/9/2018 0:00,Nighthawk,15E,1
215,2018,13,TRM,5.88,61.97,8/9/2018 0:00,Nighthawk,7NW,1
216,2018,13,TRM,,,8/9/2018 0:00,Nighthawk,19N,1
217,2018,13,TRM,6.46,57.88,8/9/2018 0:00,Nighthawk,15E,1
218,2018,14,CARM,5.27,55.86,8/16/2018 0:00,Nighthawk,NH,2
219,2018,14,TRM,,,8/16/2018 0:00,Nighthawk,15E,2
220,2018,14,TRM,6.87,60.16,8/16/2018 0:00,Nighthawk,7NW,2
221,2018,14,TRM,6.07,60.28,8/16/2018 0:00,Nighthawk,19N,2
222,2018,14,TRM,6.79,57.94,8/16/2018 0:00,Nighthawk,15E,2
223,2018,15,CARM,6.12,61.02,8/24/2018 0:00,Ridgeline,8E,1
224,2018,15,TRM,5.81,64.51,8/24/2018 0:00,Ridgeline,5E,1
225,2018,15,TRM,7.05,62.22,8/24/2018 0:00,Ridgeline,7NW,1
226,2018,15,TRM,6.76,64.54,8/24/2018 0:00,Ridgeline,19N,1
227,2018,15,TRM,8,57,8/24/2018 0:00,Ridgeline,15E,1
228,2018,16,CARM,6.28,61.06,8/31/2018 0:00,Ridgeline,8E,2
229,2018,16,TRM,6.34,59.63,8/31/2018 0:00,Ridgeline,5E,2
230,2018,16,TRM,7.22,61.01,8/31/2018 0:00,Ridgeline,7NW,2
231,2018,16,TRM,7.63,61.89,8/31/2018 0:00,Ridgeline,19N,2
232,2018,16,TRM,6.65,58.1,8/31/2018 0:00,Ridgeline,15E,2
233,2018,17,CARM,6.86,61.99,9/7/2018 0:00,Headquarters,7SE,1
234,2018,17,TRM,7.17,62.94,9/7/2018 0:00,Headquarters,7NW,1
235,2018,17,TRM,6.14,61.64,9/7/2018 0:00,Headquarters,19N,1
236,2018,17,TRM,7.23,57.47,9/7/2018 0:00,Headquarters,15E,1
237,2018,18,CARM,5.63,58.73,9/14/2018 0:00,Headquarters,7SE,2
238,2018,18,TRM,6.31,60.33,9/14/2018 0:00,Headquarters,7NW,2
239,2018,18,TRM,6.03,60.74,9/14/2018 0:00,Headquarters,19N,2
240,2018,18,TRM,6.65,56.74,9/14/2018 0:00,Headquarters,15E,2
241,2018,19,CARM,4.4,61.81,9/21/2018 0:00,Saltflat,17S,1
242,2018,19,TRM,5.85,59.18,9/21/2018 0:00,Saltflat,17N,1
243,2018,19,TRM,5.71,58.76,9/21/2018 0:00,Saltflat,7NW,1
244,2018,19,TRM,5.93,61.06,9/21/2018 0:00,Saltflat,19N,1
245,2018,19,TRM,6.69,55.73,9/21/2018 0:00,Saltflat,15E,1
246,2019,1,CARM,8.43,64.94,5/24/2019 0:00,Saltflat,7SE,1
247,2019,1,TRM,11.78,68.85,5/24/2019 0:00,Saltflat,7NW,1
248,2019,1,TRM,13.32,70.81,5/24/2019 0:00,Saltflat,19N,1
249,2019,1,TRM,13.43,68.32,5/24/2019 0:00,Saltflat,15E,1
250,2019,2,CARM,8.14,62.2,5/30/2019 0:00,Saltflat,7SE,2
251,2019,2,TRM,11.63,68.36,5/30/2019 0:00,Saltflat,7NW,2
252,2019,2,TRM,13.76,70.38,5/30/2019 0:00,Saltflat,19N,2
253,2019,2,TRM,13.67,68.93,5/30/2019 0:00,Saltflat,15E,2
254,2019,3,CARM,13.14,68.39,6/5/2019 0:00,Elm,20NW,1
255,2019,3,TRM,11.47,67.62,6/5/2019 0:00,Elm,20SE,1
256,2019,3,TRM,13.03,69.45,6/5/2019 0:00,Elm,19N,1
257,2019,3,TRM,14.09,68.08,6/5/2019 0:00,Elm,15E,1
258,2019,4,CARM,10.95,65.4,6/11/2019 0:00,Elm,20NW,2
259,2019,4,TRM,14.38,71.03,6/11/2019 0:00,Elm,20SE,2
260,2019,4,TRM,13.58,69.83,6/11/2019 0:00,Elm,19N,2
261,2019,4,TRM,14.05,68.29,6/11/2019 0:00,Elm,15E,2
262,2019,5,CARM,11.04,65.84,6/18/2019 0:00,Saltflat,17S,1
263,2019,5,TRM,12.81,66.75,6/18/2019 0:00,Saltflat,17N,1
264,2019,5,TRM,11.57,68.56,6/18/2019 0:00,Saltflat,19N,1
265,2019,5,TRM,12.5,66.65,6/18/2019 0:00,Saltflat,15E,1
266,2019,6,CARM,10.54,63.92,6/26/2019 0:00,Saltflat,17S,2
267,2019,6,TRM,14.53,66.1,6/26/2019 0:00,Saltflat,17N,2
268,2019,6,TRM,13.43,69.08,6/26/2019 0:00,Saltflat,19N,2
269,2019,6,TRM,12.06,65.06,6/26/2019 0:00,Saltflat,15E,2
270,2019,7,CARM,11.99,65.64,7/1/2019 0:00,Saltflat,17S,3
271,2019,7,TRM,12.48,66.45,7/1/2019 0:00,Saltflat,17N,3
272,2019,7,TRM,11.76,66.22,7/1/2019 0:00,Saltflat,19N,3
273,2019,7,TRM,11.22,64.15,7/1/2019 0:00,Saltflat,15E,3
274,2019,8,CARM,10.28,64.96,7/11/2019 0:00,Highway,21N,1
275,2019,8,TRM,11.39,64.15,7/11/2019 0:00,Highway,24W,1
276,2019,8,TRM,12.14,66.57,7/11/2019 0:00,Highway,19N,1
277,2019,8,TRM,11.12,64.03,7/11/2019 0:00,Highway,15E,1
278,2019,9,CARM,9.1,63.03,7/17/2019 0:00,Highway,21N,2
279,2019,9,TRM,11.18,63.93,7/17/2019 0:00,Highway,24W,2
280,2019,9,TRM,10.73,65.02,7/17/2019 0:00,Highway,19N,2
281,2019,9,TRM,9.98,62.32,7/17/2019 0:00,Highway,15E,2
282,2019,10,CARM,7.39,61.66,7/23/2019 0:00,Highway,21N,3
283,2019,10,TRM,9.16,63.36,7/23/2019 0:00,Highway,24W,3
284,2019,10,TRM,8.79,61.91,7/23/2019 0:00,Highway,19N,3
285,2019,10,TRM,9.23,62.37,7/23/2019 0:00,Highway,15E,3
286,2019,11,CARM,8.84,60.68,7/31/2019 0:00,Hilltank,26W,1
287,2019,11,TRM,8.52,62.45,7/31/2019 0:00,Hilltank,26E,1
288,2019,11,TRM,8.87,62.5,7/31/2019 0:00,Hilltank,19N,1
289,2019,11,TRM,8.06,61.72,7/31/2019 0:00,Hilltank,15E,1
290,2019,12,CARM,7.73,61.5,8/6/2019 0:00,Hilltank,26W,2
291,2019,12,TRM,9.65,63.64,8/6/2019 0:00,Hilltank,26E,2
292,2019,12,TRM,8.01,62.62,8/6/2019 0:00,Hilltank,19N,2
293,2019,12,TRM,8.18,62.25,8/6/2019 0:00,Hilltank,15E,2
294,2019,13,CARM,8.39,61.66,8/14/2019 0:00,Crossroads,25NW,1
295,2019,13,TRM,9.22,63.77,8/14/2019 0:00,Crossroads,25SE,1
296,2019,13,TRM,7.82,63.41,8/14/2019 0:00,Crossroads,19N,1
297,2019,13,TRM,7.23,61.18,8/14/2019 0:00,Crossroads,15E,1
298,2019,14,CARM,7.57,61.43,8/21/2019 0:00,Crossroads,25NW,2
299,2019,14,TRM,9.31,63.94,8/21/2019 0:00,Crossroads,25SE,2
300,2019,14,TRM,7.89,63.05,8/21/2019 0:00,Crossroads,19N,2
301,2019,14,TRM,7.38,61.71,8/21/2019 0:00,Crossroads,15E,2
302,2019,15,CARM,8.71,63.39,8/28/2019 0:00,South,31W,1
303,2019,15,TRM,9.04,60.97,8/28/2019 0:00,South,31E,1
304,2019,15,TRM,8.18,62.14,8/28/2019 0:00,South,19N,1
305,2019,15,TRM,7.18,61.83,8/28/2019 0:00,South,15E,1
306,2019,16,CARM,7.66,63.29,9/3/2019 0:00,South,31W,2
307,2019,16,TRM,8.99,62.19,9/3/2019 0:00,South,31E,2
308,2019,16,TRM,7.68,62.43,9/3/2019 0:00,South,19N,2
309,2019,16,TRM,6.7,61.01,9/3/2019 0:00,South,15E,2
310,2019,17,CARM,5.91,61.22,9/10/2019 0:00,South,31W,3
311,2019,17,TRM,7.14,61.98,9/10/2019 0:00,South,31E,3
312,2019,17,TRM,7.01,61.34,9/10/2019 0:00,South,19N,3
313,2019,17,TRM,6.41,60.29,9/10/2019 0:00,South,15E,3
314,2019,18,CARM,7.94,64.8,9/18/2019 0:00,Snowfence,18S,1
315,2019,18,TRM,7.19,62.05,9/18/2019 0:00,Snowfence,19N,1
316,2019,18,TRM,7.45,62.14,9/18/2019 0:00,Snowfence,15E,1
317,2019,19,CARM,7.12,64.43,9/25/2019 0:00,Snowfence,18S,2
318,2019,19,TRM,6.78,62.63,9/25/2019 0:00,Snowfence,19N,2
319,2019,19,TRM,6.85,61.31,9/25/2019 0:00,Snowfence,15E,2
